strategy,avg_bars,avg_favorable,avg_adverse,pct_over_0.5,pct_over_1.0
7ffc4afa,2.55,0.11157593865173088,0.05939423960385816,0.0,0.0
3bee7e1f,2.7,0.12355130152743388,0.06963084841473127,0.0,0.0
bb047773,3.1,0.13511209090392257,0.11532707436319115,5.0,0.0
8baa1f12,3.0,0.11586343013805005,0.08077983950857814,0.0,0.0
49cbed90,3.35,0.11430736106225566,0.11661407204920697,5.0,0.0
8e87066c,2.7,0.11543552196630338,0.07169155409140937,0.0,0.0
5c710827,2.9,0.11786618528520083,0.07730314141741526,0.0,0.0
3f61275a,2.7,0.13280150642265762,0.09745472769425895,5.0,0.0
b9277649,2.7,0.13346010932751623,0.10616677896883722,5.0,0.0
f1ad6d1f,2.9,0.13592577555000565,0.10946394698702888,5.0,0.0
1729defe,3.4,0.10739164940485016,0.08563371210722662,0.0,0.0
de310b1d,3.1,0.13357961853722958,0.11551655962245466,5.0,0.0
7ac75d9a,3.2,0.10654182415935018,0.08240636485043148,0.0,0.0
f9a95a9e,3.0,0.09788518577589087,0.07644051895081358,0.0,0.0
e837394f,3.25,0.10740733876837047,0.08360846847407188,0.0,0.0
6312bf78,3.1,0.0982089296607502,0.08408952410963202,0.0,0.0
b3883b4a,7.5,0.09857463591605353,0.1268649427499812,0.0,0.0
cc981e9e,3.55,0.09698487576447093,0.0927988909540717,0.0,0.0
67e6717e,8.0,0.10797897031766099,0.14322850497476056,0.0,0.0
a2e4b74d,4.3,0.1183449724422582,0.16947723893875324,5.0,5.0
