strategy_id,signal_changes,non_zero_signals,estimated_bars
0,3262,1638,88735.0
1,3261,1644,88733.0
2,161,80,88423.0
3,871,436,88730.0
4,1317,659,88731.0
5,1449,725,88732.0
6,1510,756,88732.0
7,19,9,84966.0
8,411,205,88431.0
9,744,372,88729.0
10,970,485,88730.0
11,1092,546,88730.0
12,2826,1430,88738.0
13,1,0,0.0
14,163,81,88424.0
15,413,206,88430.0
16,625,312,88447.0
17,785,392,88728.0
18,2391,1258,88666.0
19,2392,1257,88666.0
20,2378,1248,88666.0
21,2383,1247,88666.0
22,2390,1249,88666.0
23,2529,1286,88717.0
24,2374,1239,88666.0
25,2378,1248,88666.0
26,2378,1248,88666.0
27,2378,1248,88666.0
28,2378,1248,88666.0
29,2378,1248,88666.0
30,2378,1248,88666.0
31,2378,1248,88666.0
32,2378,1248,88666.0
33,2378,1248,88666.0
34,2301,1172,88717.0
35,2378,1248,88666.0
36,2378,1248,88666.0
37,2378,1248,88666.0
38,955,478,88723.0
39,1888,947,88732.0
40,2066,1037,88733.0
41,1947,978,88740.0
42,1942,977,88738.0
