stop_loss_bps,stop_loss_pct,num_trades,total_return,avg_return_per_trade_bps,win_rate,stopped_trades,stop_rate,stopped_winners,stopped_losers,pct_stopped_were_winners,avg_win_bps,avg_loss_bps
None,,1174,0.054174848461366665,0.449389495244345,0.5298126064735945,0,0.0,0,0,0.0,5.726756260406469,-5.619368752881411
1.0,0.0001,1174,0.05417663395456063,0.4494039222792983,0.18824531516183987,945,0.8049403747870528,933,12,0.9873015873015873,6.674211078620779,-0.9962149775176613
2.0,0.0002,1174,0.059165161212003436,0.4896168147758364,0.303236797274276,776,0.6609880749574105,754,22,0.9716494845360825,6.059829945259174,-1.9464813283707674
5.0,0.0005,1174,0.061828957538258233,0.5110123757813143,0.46252129471890974,422,0.3594548551959114,355,67,0.8412322274881516,5.6603379403205905,-3.9641586096583605
10.0,0.001,1174,0.06990535928901465,0.5755553262295133,0.5187393526405452,155,0.13202725724020442,92,63,0.5935483870967742,5.671848517974036,-5.0243287422291845
20.0,0.002,1174,0.07135842892265232,0.5871158688677961,0.5298126064735945,28,0.02385008517887564,7,21,0.25,5.726756260406469,-5.319941414670427
30.0,0.003,1174,0.06362533577073548,0.5254105696149505,0.5298126064735945,8,0.0068143100511073255,1,7,0.125,5.726756260406469,-5.454093306009022
50.0,0.005,1174,0.053952163270329034,0.4475899761300793,0.5298126064735945,3,0.002555366269165247,0,3,0.0,5.726756260406469,-5.623281040733537
75.0,0.0075,1174,0.054174848461366665,0.449389495244345,0.5298126064735945,0,0.0,0,0,0.0,5.726756260406469,-5.619368752881411
100.0,0.01,1174,0.054174848461366665,0.449389495244345,0.5298126064735945,0,0.0,0,0,0.0,5.726756260406469,-5.619368752881411
200.0,0.02,1174,0.054174848461366665,0.449389495244345,0.5298126064735945,0,0.0,0,0,0.0,5.726756260406469,-5.619368752881411
500.0,0.05,1174,0.054174848461366665,0.449389495244345,0.5298126064735945,0,0.0,0,0,0.0,5.726756260406469,-5.619368752881411
